feature,control_median,pd_median,cliffs_delta,effect,u_stat,p_raw,p_fdr,significant_fdr
torso_torso_band_energy,389771.3864264174,464651.158844984,0.4608754208754209,medium,21694.0,1.79294063094253e-13,4.482351577356325e-12,True
foot_total_energy,914636.7400443725,1575773.5686274583,0.45225589225589236,medium,21566.0,4.986424451784875e-13,6.2330305647310936e-12,True
torso_total_energy,672050.6058964662,1129439.118748423,0.44080808080808076,medium,21396.0,1.8847697234159343e-12,1.5706414361799453e-11,True
foot_foot_band_energy,357264.5927643425,610153.761367989,0.4306397306397307,medium,21245.0,5.973394244231193e-12,3.733371402644495e-11,True
foot_torso_band_energy,438792.91271962575,521881.79321555723,0.4225589225589226,medium,21125.0,1.4666133676737168e-11,7.333066838368583e-11,True
torso_bandwidth_hz,171.05410097395787,224.5035724830705,0.41468013468013476,medium,21008.0,3.465952927260968e-11,1.4441470530254034e-10,True
foot_std,0.3072293905635094,0.2584985130692899,-0.38868686868686864,medium,9078.0,5.300010525467335e-10,1.8928609019526197e-09,True
foot_env_cv,0.46043416209479315,0.19645319345193418,-0.36983164983164984,medium,9358.0,3.448540896552307e-09,1.0776690301725959e-08,True
torso_entropy,5.3768051450089125,5.6685821696768794,0.3552188552188553,medium,20125.0,1.3852871794294818e-08,3.848019942859672e-08,True
torso_foot_band_energy,242074.84508998657,387433.269234631,0.35245791245791236,medium,20084.0,1.7908171997423467e-08,4.4770429993558666e-08,True
torso_centroid_hz,223.12839780373702,317.1676049405957,0.34962962962962973,medium,20042.0,2.3250355138078987e-08,5.284171622290679e-08,True
foot_env_std,28.380383112323265,23.979534041055537,-0.3293602693602694,small,9959.0,1.424770021106282e-07,2.968270877304754e-07,True
foot_bandwidth_hz,193.57685790203263,224.18570895410494,0.30713804713804715,small,19411.0,9.250087405506668e-07,1.7070191080486982e-06,True
torso_mean,0.15838125729758576,0.24823752198681398,0.30673400673400675,small,19405.0,9.55930700507271e-07,1.7070191080486982e-06,True
foot_entropy,5.575334833473037,5.736753518635362,0.29468013468013465,small,19226.0,2.5027991103681205e-06,4.171331850613534e-06,True
foot_centroid_hz,269.7567470013303,362.98254036166236,0.2901010101010102,small,19158.0,3.573938507145187e-06,5.584278917414355e-06,True
foot_foot_to_torso_band_ratio,0.46711137260785773,0.5513041553269642,0.2843097643097643,small,19072.0,5.566956424124182e-06,8.186700623712032e-06,True
foot_mean,0.21644076352249308,0.38882903526214385,0.28222222222222215,small,19041.0,6.518079213847527e-06,9.052887797010455e-06,True
torso_env_cv,0.3366768371539506,0.2622079865380998,-0.23043771043771044,small,11428.0,0.00023193192045500825,0.0003051735795460635,True
torso_std,0.2640497282529505,0.25298431069350724,-0.2218181818181818,small,11556.0,0.0003945489916639477,0.0004931862395799346,True
foot_max,0.9996240139007568,0.9994859099388123,-0.20683501683501682,small,11778.5,0.0009521364499248936,0.0011334957737201114,True
torso_foot_to_torso_band_ratio,0.3979459636694983,0.44324443324144264,0.19993265993265985,small,17819.0,0.0014030958890854839,0.0015944271466880498,True
torso_env_std,16.400780342947687,17.885705307122272,0.14747474747474754,small,17040.0,0.018481188131733075,0.02008824796927508,True
torso_max,0.999638557434082,0.999669760465622,0.13101010101010102,negligible,16795.5,0.03637058918042017,0.03788603039627101,True
foot_torso_total_ratio,1.4366928750560852,1.397287051143969,-0.053198653198653245,negligible,14060.0,0.39561571134927775,0.39561571134927775,False
